1	1	2	8	19	36	46	0	0	0
2	1	8	7	46	24	34	0	0	0
3	2	3	9	20	38	47	0	0	0
4	2	9	8	47	25	36	0	0	0
5	3	4	10	21	40	48	0	0	0
6	3	10	9	48	26	38	0	0	0
7	4	5	11	22	42	49	0	0	0
8	4	11	10	49	27	40	0	0	0
9	5	6	12	23	44	50	0	0	0
10	5	12	11	50	28	42	0	0	0
11	7	8	14	24	37	51	0	0	0
12	7	14	13	51	29	35	0	0	0
13	8	9	15	25	39	52	0	0	0
14	8	15	14	52	30	37	0	0	0
15	9	10	16	26	41	53	0	0	0
16	9	16	15	53	31	39	0	0	0
17	10	11	17	27	43	54	0	0	0
18	10	17	16	54	32	41	0	0	0
19	11	12	18	28	45	55	0	0	0
20	11	18	17	55	33	43	0	0	0
